,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config
2305,RF,quadruple_50,6,0.6835278858625162,1.0761858345792192,-0.648335293972522,1.2157143131616706,0.370878861710378,5
2306,RF,quadruple_50,6,0.7250324254215305,1.1508174742398332,-0.7553638593821097,1.131193409527821,0.3600249479326465,6
2307,RF,quadruple_50,6,0.666018158236057,0.7634364712084527,-0.5721166085449172,1.4740860962111482,0.3476317310316416,7
2308,RF,quadruple_50,6,0.6718547341115434,1.0148067936605698,-0.6212148260104942,1.2746065793839008,0.3731843591333447,8
2309,RF,quadruple_50,6,0.7302204928664072,1.525608740469813,-0.9097496041381538,0.8757877891533618,0.4420081069636124,9
2310,RF,quadruple_50,6,0.7425421530479897,1.4265503499600314,-0.941113775047489,0.94949022887597,0.4302508416159779,10
2311,RF,quadruple_50,6,0.6731517509727627,1.0701287736933378,-0.6724992240745928,1.2575647194008184,0.4087028544483201,11
2312,RF,quadruple_50,6,0.6945525291828794,0.94602879134296,-0.5473267310227319,1.2513561102615558,0.2863460734900663,12
2313,RF,quadruple_50,6,0.5875486381322957,1.0088360028433188,-0.518807780476773,1.3682925632457412,0.4466932412298416,13
2314,RF,quadruple_50,6,0.7308690012970168,1.1644265424367752,-0.7479985341415425,1.1042562665759037,0.3445035475548464,14
2315,RF,quadruple_50,6,0.7334630350194552,1.4899643496803827,-0.9021364200282788,0.8951076757157025,0.4293390419073911,15
2316,RF,quadruple_50,6,0.7373540856031129,1.807908571670861,-1.0636147546843675,0.6977364136526595,0.520145853867803,16
2317,RF,quadruple_50,6,0.6316472114137484,0.9366223696774398,-0.4947121048593102,1.327578110372949,0.3441759635046865,17
2318,RF,quadruple_50,6,0.6958495460440985,1.0846806142293115,-0.6660466765562938,1.1956042041035055,0.3599883419917165,18
2319,RF,quadruple_50,6,0.7431906614785992,1.3854027576390018,-0.8433765822188009,0.9347371726464252,0.3730726997516172,19
2320,RF,quadruple_50,6,0.6335927367055771,0.9155256860030264,-0.4639060580781358,1.320345993331293,0.31616158733509,20
2321,RF,quadruple_50,6,0.7555123216601816,1.492691563718128,-0.8736456304529063,0.8306841663865858,0.3629940126755681,21
2322,RF,quadruple_50,6,0.6595330739299611,1.1569974910440974,-0.6202429869431696,1.1724365487223654,0.3957450482343941,22
2323,RF,quadruple_50,6,0.7328145265888456,1.3123420780480706,-0.8136624999467772,1.0048724869164456,0.3782487065515538,23
2324,RF,quadruple_50,6,0.6770428015564203,1.095628302944688,-0.6672915597476006,1.2236012471165214,0.396976084105538,24
2325,RF,quadruple_50,6,0.7373540856031129,1.518721633656836,-0.882637758520913,0.8510137353570955,0.4084457718728784,25
2326,RF,quadruple_50,6,0.6997405966277561,1.0737619515878838,-0.6603497478985245,1.1945828821838884,0.3491686932234081,26
2327,RF,quadruple_50,6,0.7392996108949417,1.2981730151687398,-0.8641115226341352,1.029220867288496,0.3932612774065782,27
2328,RF,quadruple_50,6,0.6841763942931258,1.2357384065574213,-0.6222621545798215,1.0581337617141346,0.3516647060274779,28
2329,RF,quadruple_50,6,0.6705577172503242,0.9660804993224008,-0.524847822832629,1.2580436359341427,0.3068371955170881,29
2330,RF,quadruple_50,6,0.6491569390402075,1.0064499501431186,-0.4190478349272382,1.1867508205709465,0.2613623122546009,30
2331,RF,quadruple_50,6,0.7204928664072633,1.1980368753159734,-0.7880710475499015,1.1167313239813648,0.3889853710103687,31
