,Window,Dataset,Group,Unnamed: 0_group,model_id_group,score_threshold_group,k_group,attribute_name_group,attribute_value_group,tpr_group,tnr_group,for_group,fdr_group,fpr_group,fnr_group,npv_group,precision_group,pp_group,pn_group,ppr_group,pprev_group,fp_group,fn_group,tn_group,tp_group,group_label_pos_group,group_label_neg_group,group_size_group,total_entities_group,prev_group,pp,pn,fpr,tnr,tpr,fnr,accuracy,ppv,npv,f1,roc_auc,equal_opportunity,fpr_ratio,Drop
38,2,Real Val,Young,0,0,binary 0/1,9183,client_age_binarized,0,0.8462998102466793,0.8643337455557273,0.0018075515486923,0.9402705236373377,0.1356662544442727,0.1537001897533206,0.9981924484513076,0.0597294763626623,7467,44812,0.8131329630839594,0.1428298169437059,7021,81,44731,446,527,51752,52279,63927,0.0100805294668987,9183.0,54744.0,0.13505983663648452,0.8649401633635154,0.8622516556291391,0.13774834437086092,0.8649084111564753,0.07089186540346291,0.9981002484290515,0.13101227611189373,0.9348307343810213,0.9412505206645995,0.9752737284768163,Drop
39,2,Real Val,Old,1,0,binary 0/1,9183,client_age_binarized,1,0.8991228070175439,0.8676882661996498,0.0023157470801449,0.8805361305361306,0.1323117338003502,0.1008771929824561,0.997684252919855,0.1194638694638694,1716,9932,0.1868670369160405,0.1473214285714285,1511,23,9909,205,228,11420,11648,63927,0.0195741758241758,9183.0,54744.0,0.13505983663648452,0.8649401633635154,0.8622516556291391,0.13774834437086092,0.8649084111564753,0.07089186540346291,0.9981002484290515,0.13101227611189373,0.9348307343810213,0.9412505206645995,0.9752737284768163,Drop
40,2,Real Test,Young,0,0,binary 0/1,9430,client_age_binarized,0,0.8327137546468402,0.8460166089671431,0.0022543396037371,0.9418030657313587,0.1539833910328568,0.1672862453531598,0.9977456603962628,0.0581969342686412,7698,39923,0.8163308589607635,0.1616513722937359,7250,90,39833,448,538,47083,47621,57967,0.0112975368009911,9430.0,48537.0,0.15321128188987393,0.8467887181101261,0.8586118251928021,0.1413881748071979,0.8469474011075266,0.07083775185577942,0.9977336877021653,0.13087774294670845,0.928562987444194,0.9084150050692802,0.9716248592505647,Drop
41,2,Real Test,Old,1,0,binary 0/1,9430,client_age_binarized,1,0.9166666666666666,0.8503859093607757,0.0023218017181332,0.8729792147806005,0.1496140906392242,0.0833333333333333,0.9976781982818668,0.1270207852193995,1732,8614,0.1836691410392364,0.1674076937947032,1512,20,8594,220,240,10106,10346,57967,0.023197370964624,9430.0,48537.0,0.15321128188987393,0.8467887181101261,0.8586118251928021,0.1413881748071979,0.8469474011075266,0.07083775185577942,0.9977336877021653,0.13087774294670845,0.928562987444194,0.9084150050692802,0.9716248592505647,Drop
42,3,Noisy Val,Young,0,0,binary 0/1,11641,client_age_binarized,0,0.9646892655367232,0.9499912133155926,0.0072148179242312,0.2095739084692267,0.0500087866844074,0.0353107344632768,0.9927851820757688,0.7904260915307733,9505,38116,0.8165106090542049,0.1995968165305222,1992,275,37841,7513,7788,39833,47621,57967,0.1635412948069129,11641.0,46326.0,0.0499927726268404,0.9500072273731596,0.9664570230607966,0.033542976939203384,0.9527144754774268,0.7920281762735161,0.9930924318956957,0.8705915679146405,0.9911511324464726,0.99012044125386,0.998195539897547,Drop
43,3,Noisy Val,Old,1,0,binary 0/1,11641,client_age_binarized,1,0.9743150684931506,0.9500814521759366,0.0054811205846528,0.2008426966292134,0.0499185478240633,0.0256849315068493,0.9945188794153472,0.7991573033707865,2136,8210,0.183489390945795,0.2064566015851537,429,45,8165,1707,1752,8594,10346,57967,0.1693408080417552,11641.0,46326.0,0.0499927726268404,0.9500072273731596,0.9664570230607966,0.033542976939203384,0.9527144754774268,0.7920281762735161,0.9930924318956957,0.8705915679146405,0.9911511324464726,0.99012044125386,0.998195539897547,Drop
44,3,Real Val,Young,0,0,binary 0/1,11641,client_age_binarized,0,0.8736059479553904,0.8081048361404328,0.0017840277049008,0.9505523408732246,0.1918951638595671,0.1263940520446096,0.9982159722950992,0.0494476591267753,9505,38116,0.8165106090542049,0.1995968165305222,9035,68,38048,470,538,47083,47621,57967,0.0112975368009911,11641.0,46326.0,0.1913654723810523,0.8086345276189477,0.8958868894601543,0.10411311053984573,0.8098055790363483,0.05987458122154454,0.998251521823598,0.1122473629116676,0.9291504276106813,0.9236362445343335,0.9843795994883674,Drop
45,3,Real Val,Old,1,0,binary 0/1,11641,client_age_binarized,1,0.9458333333333332,0.8111023154561646,0.0015834348355663,0.8937265917602997,0.1888976845438353,0.0541666666666666,0.9984165651644336,0.1062734082397003,2136,8210,0.183489390945795,0.2064566015851537,1909,13,8197,227,240,10106,10346,57967,0.023197370964624,11641.0,46326.0,0.1913654723810523,0.8086345276189477,0.8958868894601543,0.10411311053984573,0.8098055790363483,0.05987458122154454,0.998251521823598,0.1122473629116676,0.9291504276106813,0.9236362445343335,0.9843795994883674,Drop
46,3,Real Test,Young,0,0,binary 0/1,10175,client_age_binarized,0,0.8875739644970414,0.8158236960661372,0.0016198704103671,0.9463071232549816,0.1841763039338628,0.1124260355029585,0.9983801295896328,0.0536928767450184,8381,35188,0.8236855036855036,0.1923615414629668,7931,57,35131,450,507,43062,43569,51955,0.0116367141775115,10175.0,41780.0,0.1853718572349528,0.8146281427650472,0.8955613577023499,0.1044386422976501,0.8158213838899048,0.06742014742014742,0.9980852082336046,0.12539987204094688,0.9350967925295225,0.9740748169692107,0.960719397991337,Drop
47,3,Real Test,Old,1,0,binary 0/1,10175,client_age_binarized,1,0.9111969111969112,0.8082933431770641,0.0034890776699029,0.8684503901895206,0.1917066568229359,0.0888030888030888,0.9965109223300972,0.1315496098104793,1794,6592,0.1763144963144963,0.2139279751967565,1558,23,6569,236,259,8127,8386,51955,0.0308848080133555,10175.0,41780.0,0.1853718572349528,0.8146281427650472,0.8955613577023499,0.1044386422976501,0.8158213838899048,0.06742014742014742,0.9980852082336046,0.12539987204094688,0.9350967925295225,0.9740748169692107,0.960719397991337,Drop
