,algorithm,bias,seed,recall,fpr_ratio,fnr_ratio,precision_ratio,tpr_ratio,config
43,XGB,double_50,0,0.6971465629053177,0.8114427667290349,-0.3834178683013187,0.3109215663567173,0.1768836441170137,43
44,XGB,double_50,0,0.748378728923476,0.8972033762415182,-0.5417848427442798,0.2521280647999125,0.196439047633823,44
45,XGB,double_50,0,0.7568093385214008,0.4235622148891635,-0.2278857835454661,0.5452591520469956,0.075700369612001,45
46,XGB,double_50,0,0.7334630350194552,0.6125945555248309,-0.2076246864804245,0.3916625278698095,0.0778601679737775,46
47,XGB,double_50,0,0.7529182879377432,0.6125945555248309,-0.3686574092636236,0.4315490314156442,0.1275234517038753,47
48,XGB,double_50,0,0.7833981841763943,0.7519992011191654,-0.4854023728467608,0.3260863768504964,0.1431373418294147,48
49,XGB,double_50,0,0.6673151750972762,0.5406454715989913,-0.2501207737826527,0.5033796967974637,0.1300416842177313,49
50,XGB,double_50,1,0.7315175097276264,0.5834636931915627,-0.0639570511254843,0.2849161986696038,0.0236824574770632,0
51,XGB,double_50,1,0.767833981841764,0.6000787698334369,-0.0515559473143668,0.2621861261554986,0.0156951980948816,1
52,XGB,double_50,1,0.5291828793774319,0.4702998483344809,-0.1234580628741463,0.4758472427915834,0.112518766896452,2
53,XGB,double_50,1,0.7639429312581063,0.9104081242387676,-0.2680977679057094,0.0639188566987305,0.0857021018512666,3
54,XGB,double_50,1,0.7529182879377432,0.6311958414957172,-0.2247997009627264,0.2873940614136633,0.0759592588724349,4
55,XGB,double_50,1,0.7529182879377432,0.7753576220684396,-0.3040303085159672,0.1907915058315316,0.1037242561773667,5
56,XGB,double_50,1,0.7736705577172504,0.6100659103607201,-0.109400021886651,0.2674649855086659,0.0324600805742869,6
57,XGB,double_50,1,0.6679636835278858,0.1044308161800163,0.1162429341502177,0.6259423401441568,-0.0567475173608467,7
58,XGB,double_50,1,0.695201037613489,0.3056631057685163,-0.0200627889891577,0.5085444831464588,0.0088221641830339,8
59,XGB,double_50,1,0.7425421530479897,0.8361023976180016,-0.2367936479877001,0.1249900033426661,0.0847041678105472,9
60,XGB,double_50,1,0.7166018158236057,0.615620309740921,-0.2003875402101929,0.3074806826858871,0.0814733883960795,10
61,XGB,double_50,1,0.7399481193255513,0.5713026558211389,-0.1827240122938336,0.3296853515194918,0.0658063037766041,11
62,XGB,double_50,1,0.7756160830090791,0.6245163860456118,-0.2352488883317023,0.286572450723189,0.0700939974968239,12
63,XGB,double_50,1,0.6128404669260701,0.0895011074323424,-0.1128461877018508,0.7586149716786756,0.0726389949213282,13
64,XGB,double_50,1,0.7730220492866408,0.750335982187768,-0.2428549427227454,0.1856070851776914,0.0735171050853735,14
65,XGB,double_50,1,0.7833981841763943,0.6456901653109848,-0.2112796359058647,0.2602327020564435,0.0599757596555757,15
66,XGB,double_50,1,0.7224383916990921,0.6815023959436457,-0.1209530727157882,0.2233156239493647,0.0472576730581665,16
67,XGB,double_50,1,0.7632944228274967,0.6067353325886814,-0.1782945902963766,0.2908883952063479,0.0565806411849958,17
68,XGB,double_50,1,0.7470817120622568,0.7254210375222677,-0.2014605748754191,0.204514750319383,0.0700380931688029,18
69,XGB,double_50,1,0.754863813229572,0.7822008088777883,-0.2754611563191959,0.175862246118836,0.092669067668371,19
70,XGB,double_50,1,0.7827496757457847,0.6034062890518396,-0.2585906821613339,0.3068478267724772,0.0740975568739094,20
71,XGB,double_50,1,0.7574578469520103,0.8073647287474337,-0.2526563375335059,0.1473875167891905,0.083567937200414,21
72,XGB,double_50,1,0.7062256809338522,0.2294484992746686,-0.0345071399643978,0.5759225675690416,0.0144258826016185,22
73,XGB,double_50,1,0.7775616083009079,0.6034062890518396,-0.113329664596754,0.2730873709534175,0.0328962991618915,23
74,XGB,double_50,1,0.7723735408560312,0.7073655920151305,-0.3048383147207277,0.2374946319142178,0.0932973188464732,24
75,XGB,double_50,1,0.6926070038910506,0.5867837386905059,-0.0936572853409039,0.3002679965590772,0.0421391593269836,25
76,XGB,double_50,1,0.7658884565499352,0.821139527246032,-0.2544925398915652,0.1330615072466549,0.0803394073066334,26
77,XGB,double_50,1,0.7425421530479897,0.4713914449496857,-0.1908220544290717,0.4144823594124627,0.067863435973255,27
78,XGB,double_50,1,0.7405966277561609,0.7378654486020514,-0.2038045153437185,0.1972256378496659,0.0733472296976795,28
79,XGB,double_50,1,0.7827496757457847,0.7254210375222677,-0.2224201935110649,0.1974268318866571,0.0634647457354556,29
